slip_ratio,slip_angle,velocity,vertical_load,steering_rate,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy
0.591151,-0.134541,3.884807,2831.314261,0.215262,623146.500682,17460.877453,0.395315,19438.950406,0.347658,0.012572,0.066223,2955.649567,1002.582802,735.656325
-0.416824,-0.185122,4.485125,3257.701453,-0.300070,2232100.674333,1487.800727,0.544942,3929.001675,0.625616,0.013034,0.114382,4511.237226,-2622.043171,122.630541
0.790280,-0.403205,7.818040,6919.718634,-0.188777,1540985.401943,19206.475131,0.369497,8542.316508,0.604133,0.013139,0.075709,4393.277372,2196.833730,1699.036501
0.672094,-0.335669,3.037019,4553.364073,-0.208319,765393.964831,10020.821280,1.130061,13918.317587,0.658216,0.019783,0.108436,5238.893834,3735.701970,2359.325779
0.893544,0.330511,6.909532,4322.720342,-0.227756,3100578.634012,7432.733262,0.321743,4016.166125,0.449790,0.016978,0.070016,5613.769828,1414.731776,-1614.669843
0.648944,0.358606,7.519480,4984.755987,0.466423,1920589.008567,8815.812066,1.264141,1987.743050,0.386583,0.023235,0.105394,3077.593777,955.790376,-320.503536
0.337160,-0.371172,5.225587,4199.952419,0.241712,2386796.430406,5849.831995,0.767208,6141.110059,0.150918,0.021508,0.097752,4318.356833,224.700451,677.241948
-0.308694,0.230256,2.559082,5851.229661,-0.410854,3342641.791879,15181.564488,0.549725,11948.890880,0.455128,0.013717,0.109818,9781.314786,-2526.081823,-1319.355410
0.502312,-0.586247,2.259318,6902.887710,0.319464,2305391.708804,1609.952724,0.665972,1465.304390,0.177270,0.012174,0.065199,6549.712027,636.205094,1006.702166
0.402427,-0.467818,6.080547,3888.435880,-0.067900,3258017.361499,14223.369207,0.586065,7850.122188,0.532602,0.023285,0.094104,5259.651612,788.151940,1736.027944
