s,x,y,psi
54.6058,52.5000,-1.0000,-0.347998
54.8712,52.7500,-1.0893,-0.337967
55.1357,53.0000,-1.1756,-0.326516
55.3991,53.2500,-1.2586,-0.314771
55.6615,53.5000,-1.3383,-0.301869
55.9228,53.7500,-1.4142,-0.287831
56.1830,54.0000,-1.4863,-0.273392
56.4421,54.2500,-1.5543,-0.257635
56.7001,54.5000,-1.6180,-0.241231
56.9570,54.7500,-1.6773,-0.224568
57.2129,55.0000,-1.7321,-0.206513
57.4679,55.2500,-1.7820,-0.187736
57.7219,55.5000,-1.8271,-0.168986
57.9751,55.7500,-1.8672,-0.148863
58.2275,56.0000,-1.9021,-0.128775
58.4793,56.2500,-1.9319,-0.108044
58.7305,56.5000,-1.9563,-0.086821
58.9812,56.7500,-1.9754,-0.065285
59.2316,57.0000,-1.9890,-0.043819
59.4817,57.2500,-1.9973,-0.022034
59.7317,57.5000,-2.0000,0.000000
59.9817,57.7500,-1.9973,0.022034
60.2319,58.0000,-1.9890,0.043819
60.4822,58.2500,-1.9754,0.065285
60.7330,58.5000,-1.9563,0.086821
60.9842,58.7500,-1.9319,0.108044
61.2359,59.0000,-1.9021,0.128775
61.4884,59.2500,-1.8672,0.148863
61.7416,59.5000,-1.8271,0.168986
61.9956,59.7500,-1.7820,0.187736
62.2505,60.0000,-1.7321,0.206513
62.5065,60.2500,-1.6773,0.224568
62.7634,60.5000,-1.6180,0.241231
63.0214,60.7500,-1.5543,0.257635
63.2805,61.0000,-1.4863,0.273392
63.5407,61.2500,-1.4142,0.287831
63.8019,61.5000,-1.3383,0.301869
64.0643,61.7500,-1.2586,0.314771
64.3277,62.0000,-1.1756,0.326516
64.5922,62.2500,-1.0893,0.337967
64.8577,62.5000,-1.0000,0.347998
65.1241,62.7500,-0.9080,0.357108
65.3913,63.0000,-0.8135,0.365610
65.6594,63.2500,-0.7167,0.372906
65.9282,63.5000,-0.6180,0.379075
66.1976,63.7500,-0.5176,0.384488
66.4675,64.0000,-0.4158,0.388715
66.7379,64.2500,-0.3129,0.392140
67.0086,64.5000,-0.2091,0.394744
67.2795,64.7500,-0.1047,0.396264
67.5505,65.0000,-0.0000,0.396779
67.8216,65.2500,0.1047,0.396264
68.0925,65.5000,0.2091,0.394744
68.3632,65.7500,0.3129,0.392140
68.6335,66.0000,0.4158,0.388715
68.9035,66.2500,0.5176,0.384488
69.1729,66.5000,0.6180,0.379075
69.4417,66.7500,0.7167,0.372906
69.7098,67.0000,0.8135,0.365610
69.9770,67.2500,0.9080,0.357108
70.2434,67.5000,1.0000,0.347998
70.5089,67.7500,1.0893,0.337967
70.7734,68.0000,1.1756,0.326516
71.0368,68.2500,1.2586,0.314771
71.2992,68.5000,1.3383,0.301869
71.5604,68.7500,1.4142,0.287831
71.8206,69.0000,1.4863,0.273392
72.0797,69.2500,1.5543,0.257635
72.3377,69.5000,1.6180,0.241231
72.5946,69.7500,1.6773,0.224568
72.8506,70.0000,1.7321,0.206513
73.1055,70.2500,1.7820,0.187736
73.3595,70.5000,1.8271,0.168986
73.6127,70.7500,1.8672,0.148863
73.8652,71.0000,1.9021,0.128775
74.1169,71.2500,1.9319,0.108044
74.3681,71.5000,1.9563,0.086821
74.6188,71.7500,1.9754,0.065285
74.8692,72.0000,1.9890,0.043819
75.1193,72.2500,1.9973,0.022034
75.3694,72.5000,2.0000,0.000000
75.6194,72.7500,1.9973,-0.022034
75.8695,73.0000,1.9890,-0.043819
76.1199,73.2500,1.9754,-0.065285
76.3706,73.5000,1.9563,-0.086821
76.6218,73.7500,1.9319,-0.108044
76.8736,74.0000,1.9021,-0.128775
77.1260,74.2500,1.8672,-0.148863
77.3792,74.5000,1.8271,-0.168986
77.6332,74.7500,1.7820,-0.187736
77.8882,75.0000,1.7321,-0.206513
78.1441,75.2500,1.6773,-0.224568
78.4010,75.5000,1.6180,-0.241231
78.6590,75.7500,1.5543,-0.257635
78.9181,76.0000,1.4863,-0.273392
79.1783,76.2500,1.4142,-0.287831
79.4396,76.5000,1.3383,-0.301869
79.7020,76.7500,1.2586,-0.314771
79.9654,77.0000,1.1756,-0.326516
80.2298,77.2500,1.0893,-0.337967
80.4953,77.5000,1.0000,-0.347998
