distribution,case_label,terrain,terrain_config,path,excitation_source,true_n,true_phi_deg,status,run_dir,diag_csv,open_loop_throttle,steer_amp,steer_period,bumpiness,seed,notes,n_samples,mean_speed_mps,p95_speed_mps,n_est_final,n_est_mean_tail,n_abs_err_final,n_abs_err_tail,terrain_update_count,first_update_time_s
id,sand,sand,,sinusoidal,open_loop_command,1.1,30.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0027_id_sand_ol_thr75_amp60_b0_s712,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0027_id_sand_ol_thr75_amp60_b0_s712/open_loop_diag.csv,0.75,0.6,3.0,0,712,,1668,4.197789043956043,4.280746,1.1,1.0976026573426572,0.0,0.002397342657342927,133,4.164
id,sand,sand,,sinusoidal,open_loop_command,1.1,30.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0028_id_sand_ol_thr75_amp60_b0_s713,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0028_id_sand_ol_thr75_amp60_b0_s713/open_loop_diag.csv,0.75,0.6,3.0,0,713,,1668,4.194744768231769,4.28436,1.1,1.0990646253746252,0.0,0.0009353746253748518,133,4.164
id,sand,sand,,sinusoidal,open_loop_command,1.1,30.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0029_id_sand_ol_thr75_amp60_b0_s714,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0029_id_sand_ol_thr75_amp60_b0_s714/open_loop_diag.csv,0.75,0.6,3.0,0,714,,1668,4.191252466533467,4.275699,1.1,1.0998897302697301,0.0,0.0001102697302699518,133,4.164
id,sand,sand,,sinusoidal,open_loop_command,1.1,30.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0030_id_sand_ol_thr75_amp60_b0_s715,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0030_id_sand_ol_thr75_amp60_b0_s715/open_loop_diag.csv,0.75,0.6,3.0,0,715,,1668,4.193812094905096,4.280065,1.1,1.0995165934065934,0.0,0.0004834065934067322,133,4.164
id,sand,sand,,sinusoidal,open_loop_command,1.1,30.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0031_id_sand_ol_thr75_amp60_b4_s710,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0031_id_sand_ol_thr75_amp60_b4_s710/open_loop_diag.csv,0.75,0.6,3.0,4,710,,1668,4.188330230769232,4.28155,1.1,1.0999591508491506,0.0,4.084915084945351e-05,133,4.164
ood,terrain1,dirt,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/ood_terrains/terrain1.yaml,sinusoidal,open_loop_command,0.7283,30.98,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0037_ood_terrain1_ol_thr75_amp60_b0_s710,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0037_ood_terrain1_ol_thr75_amp60_b0_s710/open_loop_diag.csv,0.75,0.6,3.0,0,710,,1668,8.745143513486513,8.897195,0.699929,0.6979082907092907,0.028370999999999924,0.030391709290709223,133,4.164
id,sand,sand,,sinusoidal,open_loop_command,1.1,30.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0032_id_sand_ol_thr75_amp60_b4_s711,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0032_id_sand_ol_thr75_amp60_b4_s711/open_loop_diag.csv,0.75,0.6,3.0,4,711,,1668,4.191981392607393,4.286009,1.1,1.0998641958041957,0.0,0.00013580419580438985,133,4.164
id,sand,sand,,sinusoidal,open_loop_command,1.1,30.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0033_id_sand_ol_thr75_amp60_b4_s712,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0033_id_sand_ol_thr75_amp60_b4_s712/open_loop_diag.csv,0.75,0.6,3.0,4,712,,1668,4.1888848911088905,4.276056,1.1,1.0999491708291707,0.0,5.0829170829436165e-05,133,4.164
id,sand,sand,,sinusoidal,open_loop_command,1.1,30.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0034_id_sand_ol_thr75_amp60_b4_s713,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0034_id_sand_ol_thr75_amp60_b4_s713/open_loop_diag.csv,0.75,0.6,3.0,4,713,,1668,4.193871147852147,4.284503,1.1,1.099528881118881,0.0,0.0004711188811190592,133,4.164
id,sand,sand,,sinusoidal,open_loop_command,1.1,30.0,ok,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0036_id_sand_ol_thr75_amp60_b4_s715,/home/ksha/Documents/sbel/chrono_hil/chrono-HIL/project/SCM_Final/paper_scripts/results/open_loop_terrain_estimator_benchmark_20260523_151615/raw/0036_id_sand_ol_thr75_amp60_b4_s715/open_loop_diag.csv,0.75,0.6,3.0,4,715,,1668,4.189673791208792,4.286422,1.1,1.0991363336663336,0.0,0.000863666333666524,133,4.164
