label,n_true,phi_true,throttle,steer_amp,seed,ok,wall_s,csv
lhs0011_n0484_phi234,0.484,23.42,0.40,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0011_n0484_phi234_thr40_amp70_seed0.csv
lhs0011_n0484_phi234,0.484,23.42,0.60,0.70,0,1,24.9,data/terrain_traces_lhs/lhs0011_n0484_phi234_thr60_amp70_seed0.csv
lhs0011_n0484_phi234,0.484,23.42,0.60,0.40,0,1,24.9,data/terrain_traces_lhs/lhs0011_n0484_phi234_thr60_amp40_seed0.csv
lhs0012_n0487_phi128,0.487,12.79,0.40,0.40,0,1,24.6,data/terrain_traces_lhs/lhs0012_n0487_phi128_thr40_amp40_seed0.csv
lhs0012_n0487_phi128,0.487,12.79,0.40,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0012_n0487_phi128_thr40_amp70_seed0.csv
lhs0012_n0487_phi128,0.487,12.79,0.60,0.40,0,1,24.8,data/terrain_traces_lhs/lhs0012_n0487_phi128_thr60_amp40_seed0.csv
lhs0012_n0487_phi128,0.487,12.79,0.60,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0012_n0487_phi128_thr60_amp70_seed0.csv
lhs0013_n0490_phi182,0.490,18.19,0.40,0.40,0,1,24.8,data/terrain_traces_lhs/lhs0013_n0490_phi182_thr40_amp40_seed0.csv
lhs0013_n0490_phi182,0.490,18.19,0.40,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0013_n0490_phi182_thr40_amp70_seed0.csv
lhs0013_n0490_phi182,0.490,18.19,0.60,0.40,0,1,24.5,data/terrain_traces_lhs/lhs0013_n0490_phi182_thr60_amp40_seed0.csv
lhs0013_n0490_phi182,0.490,18.19,0.60,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0013_n0490_phi182_thr60_amp70_seed0.csv
lhs0014_n0494_phi141,0.494,14.14,0.40,0.40,0,1,24.8,data/terrain_traces_lhs/lhs0014_n0494_phi141_thr40_amp40_seed0.csv
lhs0014_n0494_phi141,0.494,14.14,0.40,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0014_n0494_phi141_thr40_amp70_seed0.csv
lhs0014_n0494_phi141,0.494,14.14,0.60,0.40,0,1,24.7,data/terrain_traces_lhs/lhs0014_n0494_phi141_thr60_amp40_seed0.csv
lhs0014_n0494_phi141,0.494,14.14,0.60,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0014_n0494_phi141_thr60_amp70_seed0.csv
lhs0015_n0497_phi272,0.497,27.18,0.40,0.40,0,1,24.5,data/terrain_traces_lhs/lhs0015_n0497_phi272_thr40_amp40_seed0.csv
lhs0015_n0497_phi272,0.497,27.18,0.40,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0015_n0497_phi272_thr40_amp70_seed0.csv
lhs0015_n0497_phi272,0.497,27.18,0.60,0.40,0,1,24.7,data/terrain_traces_lhs/lhs0015_n0497_phi272_thr60_amp40_seed0.csv
lhs0015_n0497_phi272,0.497,27.18,0.60,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0015_n0497_phi272_thr60_amp70_seed0.csv
lhs0016_n0501_phi202,0.501,20.24,0.40,0.40,0,1,24.8,data/terrain_traces_lhs/lhs0016_n0501_phi202_thr40_amp40_seed0.csv
lhs0016_n0501_phi202,0.501,20.24,0.40,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0016_n0501_phi202_thr40_amp70_seed0.csv
lhs0016_n0501_phi202,0.501,20.24,0.60,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0016_n0501_phi202_thr60_amp40_seed0.csv
lhs0016_n0501_phi202,0.501,20.24,0.60,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0016_n0501_phi202_thr60_amp70_seed0.csv
lhs0017_n0503_phi318,0.503,31.83,0.40,0.40,0,1,24.7,data/terrain_traces_lhs/lhs0017_n0503_phi318_thr40_amp40_seed0.csv
lhs0017_n0503_phi318,0.503,31.83,0.40,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0017_n0503_phi318_thr40_amp70_seed0.csv
lhs0017_n0503_phi318,0.503,31.83,0.60,0.40,0,1,24.7,data/terrain_traces_lhs/lhs0017_n0503_phi318_thr60_amp40_seed0.csv
lhs0017_n0503_phi318,0.503,31.83,0.60,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0017_n0503_phi318_thr60_amp70_seed0.csv
lhs0018_n0506_phi111,0.506,11.09,0.40,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0018_n0506_phi111_thr40_amp40_seed0.csv
lhs0018_n0506_phi111,0.506,11.09,0.40,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0018_n0506_phi111_thr40_amp70_seed0.csv
lhs0018_n0506_phi111,0.506,11.09,0.60,0.40,0,1,24.7,data/terrain_traces_lhs/lhs0018_n0506_phi111_thr60_amp40_seed0.csv
lhs0018_n0506_phi111,0.506,11.09,0.60,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0018_n0506_phi111_thr60_amp70_seed0.csv
lhs0019_n0510_phi209,0.510,20.90,0.40,0.40,0,1,24.8,data/terrain_traces_lhs/lhs0019_n0510_phi209_thr40_amp40_seed0.csv
lhs0019_n0510_phi209,0.510,20.90,0.40,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0019_n0510_phi209_thr40_amp70_seed0.csv
lhs0019_n0510_phi209,0.510,20.90,0.60,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0019_n0510_phi209_thr60_amp40_seed0.csv
lhs0019_n0510_phi209,0.510,20.90,0.60,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0019_n0510_phi209_thr60_amp70_seed0.csv
lhs0020_n0511_phi155,0.511,15.51,0.40,0.40,0,1,24.7,data/terrain_traces_lhs/lhs0020_n0511_phi155_thr40_amp40_seed0.csv
lhs0020_n0511_phi155,0.511,15.51,0.40,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0020_n0511_phi155_thr40_amp70_seed0.csv
lhs0020_n0511_phi155,0.511,15.51,0.60,0.40,0,1,24.8,data/terrain_traces_lhs/lhs0020_n0511_phi155_thr60_amp40_seed0.csv
lhs0020_n0511_phi155,0.511,15.51,0.60,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0020_n0511_phi155_thr60_amp70_seed0.csv
lhs0021_n0513_phi125,0.513,12.50,0.40,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0021_n0513_phi125_thr40_amp40_seed0.csv
lhs0021_n0513_phi125,0.513,12.50,0.40,0.70,0,1,24.5,data/terrain_traces_lhs/lhs0021_n0513_phi125_thr40_amp70_seed0.csv
lhs0021_n0513_phi125,0.513,12.50,0.60,0.40,0,1,24.6,data/terrain_traces_lhs/lhs0021_n0513_phi125_thr60_amp40_seed0.csv
lhs0021_n0513_phi125,0.513,12.50,0.60,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0021_n0513_phi125_thr60_amp70_seed0.csv
lhs0022_n0518_phi277,0.518,27.73,0.40,0.40,0,1,24.7,data/terrain_traces_lhs/lhs0022_n0518_phi277_thr40_amp40_seed0.csv
lhs0022_n0518_phi277,0.518,27.73,0.40,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0022_n0518_phi277_thr40_amp70_seed0.csv
lhs0022_n0518_phi277,0.518,27.73,0.60,0.40,0,1,24.3,data/terrain_traces_lhs/lhs0022_n0518_phi277_thr60_amp40_seed0.csv
lhs0022_n0518_phi277,0.518,27.73,0.60,0.70,0,1,24.5,data/terrain_traces_lhs/lhs0022_n0518_phi277_thr60_amp70_seed0.csv
lhs0023_n0519_phi201,0.519,20.13,0.40,0.40,0,1,24.5,data/terrain_traces_lhs/lhs0023_n0519_phi201_thr40_amp40_seed0.csv
lhs0023_n0519_phi201,0.519,20.13,0.40,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0023_n0519_phi201_thr40_amp70_seed0.csv
lhs0023_n0519_phi201,0.519,20.13,0.60,0.70,0,1,24.6,data/terrain_traces_lhs/lhs0023_n0519_phi201_thr60_amp70_seed0.csv
lhs0023_n0519_phi201,0.519,20.13,0.60,0.40,0,1,24.7,data/terrain_traces_lhs/lhs0023_n0519_phi201_thr60_amp40_seed0.csv
lhs0024_n0522_phi333,0.522,33.26,0.40,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0024_n0522_phi333_thr40_amp40_seed0.csv
lhs0024_n0522_phi333,0.522,33.26,0.40,0.70,0,1,24.5,data/terrain_traces_lhs/lhs0024_n0522_phi333_thr40_amp70_seed0.csv
lhs0024_n0522_phi333,0.522,33.26,0.60,0.40,0,1,24.6,data/terrain_traces_lhs/lhs0024_n0522_phi333_thr60_amp40_seed0.csv
lhs0024_n0522_phi333,0.522,33.26,0.60,0.70,0,1,24.8,data/terrain_traces_lhs/lhs0024_n0522_phi333_thr60_amp70_seed0.csv
lhs0025_n0527_phi109,0.527,10.87,0.40,0.40,0,1,24.7,data/terrain_traces_lhs/lhs0025_n0527_phi109_thr40_amp40_seed0.csv
lhs0025_n0527_phi109,0.527,10.87,0.40,0.70,0,1,24.7,data/terrain_traces_lhs/lhs0025_n0527_phi109_thr40_amp70_seed0.csv
lhs0025_n0527_phi109,0.527,10.87,0.60,0.40,0,1,24.4,data/terrain_traces_lhs/lhs0025_n0527_phi109_thr60_amp40_seed0.csv
lhs0025_n0527_phi109,0.527,10.87,0.60,0.70,0,1,24.4,data/terrain_traces_lhs/lhs0025_n0527_phi109_thr60_amp70_seed0.csv
lhs0026_n0529_phi311,0.529,31.06,0.40,0.40,0,1,24.5,data/terrain_traces_lhs/lhs0026_n0529_phi311_thr40_amp40_seed0.csv
