idx,model,terrain,path,repeat,rms_cte_m,n_solves,mean_speed,wall_s,error
148,Rate-MLP,sand,sinusoidal,3,0.049135789007757405,1494,4.158976894223556,20.2,
149,Rate-MLP,sand,sinusoidal,4,0.04843724485929076,1494,4.141752738184546,20.2,
150,Rate-ResNet,clay,lane_change,0,0.13241789969496157,1492,4.380229182295574,240.1,timeout
151,Rate-ResNet,clay,lane_change,1,,0,,240.1,timeout
152,Rate-ResNet,clay,lane_change,2,,0,,240.1,timeout
153,Rate-ResNet,clay,lane_change,3,0.13451762004858,1500,4.422449287321831,44.6,
154,Rate-ResNet,clay,lane_change,4,0.11919498155889138,1495,4.305912078019505,20.0,
155,Rate-ResNet,clay,sinusoidal,0,0.34805539492524445,1495,4.20443135783946,20.0,
156,Rate-ResNet,clay,sinusoidal,1,0.25533728528444755,1496,4.2252359339834955,20.0,
157,Rate-ResNet,clay,sinusoidal,2,0.2928522858565745,1495,4.196487621905476,20.0,
158,Rate-ResNet,clay,sinusoidal,3,0.3391520697400231,1495,4.2438168042010505,20.0,
159,Rate-ResNet,clay,sinusoidal,4,0.2930528707899883,1495,4.233144861215304,20.0,
160,Rate-ResNet,dirt,lane_change,0,0.015970995294945705,1492,4.491420780195049,43.4,
161,Rate-ResNet,dirt,lane_change,1,0.014734073164744434,1493,4.405526371149512,20.1,
162,Rate-ResNet,dirt,lane_change,2,0.014580681029192584,1489,4.4370066314996235,20.1,
163,Rate-ResNet,dirt,lane_change,3,0.017180714899105942,1491,4.435397669172932,20.2,
164,Rate-ResNet,dirt,lane_change,4,0.014562808710001528,1489,4.401066867469879,20.1,
165,Rate-ResNet,dirt,sinusoidal,0,0.06543651553030563,1489,4.995794732881866,20.1,
166,Rate-ResNet,dirt,sinusoidal,1,0.05878376234547634,1487,5.184773453996983,20.1,
167,Rate-ResNet,dirt,sinusoidal,2,0.08010788865111954,1488,5.180335870384326,20.2,
168,Rate-ResNet,dirt,sinusoidal,3,0.05169384849429833,1488,5.035564129615675,20.1,
169,Rate-ResNet,dirt,sinusoidal,4,0.067558103196751,1489,4.962798571428571,20.1,
170,Rate-ResNet,sand,lane_change,0,0.01759147299930826,1489,4.232181777108434,20.1,
171,Rate-ResNet,sand,lane_change,1,0.01756436427591869,1489,4.2373785391566265,20.1,
172,Rate-ResNet,sand,lane_change,2,0.015286590284517728,1491,4.228768472535742,20.1,
173,Rate-ResNet,sand,lane_change,3,0.01693508029099211,1489,4.227567469879518,20.1,
174,Rate-ResNet,sand,lane_change,4,0.016092897889374562,1493,4.231153643876784,20.1,
175,Rate-ResNet,sand,sinusoidal,0,0.05420502744213866,1492,4.148121637866265,20.2,
176,Rate-ResNet,sand,sinusoidal,1,0.05376532382689168,1491,4.151194210526316,20.2,
177,Rate-ResNet,sand,sinusoidal,2,0.04317747770521325,1488,4.148721084337349,20.1,
178,Rate-ResNet,sand,sinusoidal,3,0.05137084365647709,1492,4.144238542449286,20.1,
179,Rate-ResNet,sand,sinusoidal,4,0.04993481960127025,1494,4.148692048012003,20.1,
