label,n_true,phi_true,throttle,steer_amp,seed,ok,wall_s,csv
grid_n065_phi30,0.650,30.00,0.65,0.50,0,1,24.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n065_phi30_thr65_amp50_seed0.csv
grid_n065_phi35,0.650,35.00,0.45,0.50,0,1,24.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n065_phi35_thr45_amp50_seed0.csv
grid_n065_phi35,0.650,35.00,0.65,0.50,0,1,24.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n065_phi35_thr65_amp50_seed0.csv
grid_n080_phi12,0.800,12.00,0.45,0.50,0,1,24.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n080_phi12_thr45_amp50_seed0.csv
grid_n080_phi18,0.800,18.00,0.45,0.50,0,1,24.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n080_phi18_thr45_amp50_seed0.csv
grid_n080_phi12,0.800,12.00,0.65,0.50,0,1,24.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n080_phi12_thr65_amp50_seed0.csv
grid_n080_phi24,0.800,24.00,0.45,0.50,0,1,24.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n080_phi24_thr45_amp50_seed0.csv
grid_n080_phi18,0.800,18.00,0.65,0.50,0,1,24.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n080_phi18_thr65_amp50_seed0.csv
grid_n080_phi24,0.800,24.00,0.65,0.50,0,1,24.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n080_phi24_thr65_amp50_seed0.csv
grid_n080_phi30,0.800,30.00,0.45,0.50,0,1,24.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n080_phi30_thr45_amp50_seed0.csv
grid_n080_phi30,0.800,30.00,0.65,0.50,0,1,24.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n080_phi30_thr65_amp50_seed0.csv
grid_n080_phi35,0.800,35.00,0.45,0.50,0,1,24.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n080_phi35_thr45_amp50_seed0.csv
grid_n080_phi35,0.800,35.00,0.65,0.50,0,1,24.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n080_phi35_thr65_amp50_seed0.csv
grid_n095_phi12,0.950,12.00,0.45,0.50,0,1,24.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n095_phi12_thr45_amp50_seed0.csv
grid_n095_phi12,0.950,12.00,0.65,0.50,0,1,24.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n095_phi12_thr65_amp50_seed0.csv
grid_n095_phi18,0.950,18.00,0.45,0.50,0,1,24.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n095_phi18_thr45_amp50_seed0.csv
grid_n095_phi18,0.950,18.00,0.65,0.50,0,1,24.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n095_phi18_thr65_amp50_seed0.csv
grid_n095_phi24,0.950,24.00,0.45,0.50,0,1,24.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n095_phi24_thr45_amp50_seed0.csv
grid_n095_phi24,0.950,24.00,0.65,0.50,0,1,24.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n095_phi24_thr65_amp50_seed0.csv
grid_n095_phi30,0.950,30.00,0.45,0.50,0,1,24.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n095_phi30_thr45_amp50_seed0.csv
grid_n095_phi30,0.950,30.00,0.65,0.50,0,1,24.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n095_phi30_thr65_amp50_seed0.csv
grid_n095_phi35,0.950,35.00,0.45,0.50,0,1,24.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n095_phi35_thr45_amp50_seed0.csv
grid_n095_phi35,0.950,35.00,0.65,0.50,0,1,24.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n095_phi35_thr65_amp50_seed0.csv
grid_n110_phi12,1.100,12.00,0.45,0.50,0,1,24.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n110_phi12_thr45_amp50_seed0.csv
grid_n110_phi12,1.100,12.00,0.65,0.50,0,1,24.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n110_phi12_thr65_amp50_seed0.csv
grid_n110_phi18,1.100,18.00,0.45,0.50,0,1,24.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n110_phi18_thr45_amp50_seed0.csv
grid_n110_phi18,1.100,18.00,0.65,0.50,0,1,24.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n110_phi18_thr65_amp50_seed0.csv
grid_n110_phi24,1.100,24.00,0.45,0.50,0,1,24.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n110_phi24_thr45_amp50_seed0.csv
grid_n110_phi24,1.100,24.00,0.65,0.50,0,1,24.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n110_phi24_thr65_amp50_seed0.csv
grid_n110_phi30,1.100,30.00,0.45,0.50,0,1,24.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n110_phi30_thr45_amp50_seed0.csv
grid_n110_phi30,1.100,30.00,0.65,0.50,0,1,24.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n110_phi30_thr65_amp50_seed0.csv
grid_n110_phi35,1.100,35.00,0.45,0.50,0,1,24.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n110_phi35_thr45_amp50_seed0.csv
grid_n110_phi35,1.100,35.00,0.65,0.50,0,1,24.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_grid/grid_n110_phi35_thr65_amp50_seed0.csv
