time,control_delay_s,manual_delay_s,camera_delay_s
6.630000,0.010473,0.010473,0.023185
6.681000,0.016563,0.016563,0.032017
6.732000,0.450000,0.450000,0.660500
6.783000,0.012818,0.012818,0.026586
6.834000,0.008383,0.008383,0.020156
6.885000,0.013639,0.013639,0.027777
6.936000,0.011569,0.011569,0.024775
6.987000,0.450000,0.450000,0.660500
7.038000,0.013309,0.013309,0.027297
7.089000,0.008656,0.008656,0.020552
7.140000,0.015833,0.015833,0.030957
7.191000,0.016584,0.016584,0.032046
7.242000,0.450000,0.450000,0.660500
7.293000,0.011778,0.011778,0.025078
7.344000,0.015692,0.015692,0.030753
7.395000,0.012190,0.012190,0.025676
7.446000,0.008694,0.008694,0.020607
7.497000,0.012828,0.012828,0.026601
7.548000,0.009841,0.009841,0.022270
7.599000,0.014336,0.014336,0.028787
7.650000,0.010117,0.010117,0.022670
7.701000,0.013593,0.013593,0.027710
7.752000,0.011777,0.011777,0.025077
7.803000,0.013027,0.013027,0.026890
7.854000,0.013141,0.013141,0.027054
7.905000,0.012345,0.012345,0.025900
7.956000,0.010717,0.010717,0.023540
8.007000,0.089573,0.089573,0.137881
8.058000,0.089551,0.089551,0.137849
8.109000,0.097427,0.097427,0.149270
8.160000,0.096379,0.096379,0.147749
8.211000,0.089592,0.089592,0.137908
8.262000,0.089252,0.089252,0.137415
8.313000,0.096691,0.096691,0.148202
8.364000,0.091810,0.091810,0.141125
8.415000,0.084349,0.084349,0.130306
8.466000,0.086811,0.086811,0.133876
8.517000,0.097805,0.097805,0.149817
8.568000,0.097423,0.097423,0.149263
8.619000,0.093814,0.093814,0.144030
8.670000,0.090912,0.090912,0.139823
8.721000,0.100077,0.100077,0.153111
8.772000,0.091919,0.091919,0.141283
8.823000,0.084538,0.084538,0.130581
8.874000,0.094947,0.094947,0.145673
8.925000,0.096810,0.096810,0.148374
8.976000,0.096368,0.096368,0.147733
9.027000,0.094665,0.094665,0.145264
9.078000,0.095140,0.095140,0.145953
9.129000,0.093393,0.093393,0.143420
9.180000,0.086135,0.086135,0.132896
9.231000,0.088119,0.088119,0.135772
9.282000,0.083955,0.083955,0.129734
9.333000,0.088519,0.088519,0.136353
9.384000,0.096039,0.096039,0.147256
9.435000,0.094875,0.094875,0.145568
9.486000,0.091943,0.091943,0.141317
9.537000,0.095988,0.095988,0.147182
9.588000,0.093774,0.093774,0.143972
9.639000,0.085977,0.085977,0.132666
9.690000,0.086222,0.086222,0.133022
9.741000,0.450000,0.450000,0.660500
9.792000,0.090904,0.090904,0.139811
9.843000,0.090630,0.090630,0.139414
9.894000,0.095688,0.095688,0.146747
9.945000,0.100151,0.100151,0.153218
9.996000,0.450000,0.450000,0.660500
10.047000,0.100437,0.100437,0.153634
10.098000,0.096551,0.096551,0.147999
10.149000,0.089713,0.089713,0.138084
10.200000,0.080009,0.080009,0.124013
10.251000,0.088746,0.088746,0.136682
10.302000,0.098464,0.098464,0.150773
10.353000,0.099592,0.099592,0.152408
10.404000,0.090051,0.090051,0.138574
10.455000,0.097542,0.097542,0.149436
10.506000,0.087434,0.087434,0.134779
10.557000,0.085161,0.085161,0.131484
10.608000,0.093653,0.093653,0.143797
10.659000,0.091237,0.091237,0.140294
10.710000,0.091675,0.091675,0.140929
10.761000,0.095242,0.095242,0.146100
10.812000,0.089632,0.089632,0.137967
10.863000,0.095762,0.095762,0.146855
10.914000,0.098042,0.098042,0.150161
10.965000,0.092005,0.092005,0.141408
11.016000,0.089856,0.089856,0.138291
11.067000,0.093735,0.093735,0.143915
11.118000,0.088788,0.088788,0.136742
11.169000,0.089012,0.089012,0.137067
11.220000,0.092551,0.092551,0.142199
11.271000,0.091392,0.091392,0.140518
11.322000,0.088108,0.088108,0.135756
11.373000,0.085001,0.085001,0.131251
11.424000,0.100882,0.100882,0.154279
11.475000,0.096934,0.096934,0.148554
11.526000,0.100046,0.100046,0.153066
11.577000,0.093591,0.093591,0.143708
11.628000,0.103461,0.103461,0.158019
11.679000,0.092052,0.092052,0.141475
11.730000,0.091538,0.091538,0.140730
11.781000,0.086735,0.086735,0.133766
11.832000,0.083857,0.083857,0.129592
11.883000,0.093650,0.093650,0.143793
11.934000,0.091460,0.091460,0.140617
11.985000,0.094591,0.094591,0.145158
