true_terrain,nn_model,time,u,v_body,omega,ay,actual_front_fy,actual_rear_fy,front_left_slip_angle,front_right_slip_angle,rear_left_slip_angle,rear_right_slip_angle,front_left_fy,front_right_fy,rear_left_fy,rear_right_fy,front_left_Fz,front_right_Fz,rear_left_Fz,rear_right_Fz,front_left_long_slip,front_right_long_slip,rear_left_long_slip,rear_right_long_slip,steering_rate,clay_pred_front_fy,clay_pred_rear_fy,dirt_pred_front_fy,dirt_pred_rear_fy,sand_pred_front_fy,sand_pred_rear_fy
dirt,factored_v1_resnet_h32_b2_sim,6.252000000000126,4.547342741441692,-0.34294240590359976,-0.24086748981759823,-1.3812464158921696,-2170.0160952719316,-1706.8719356093557,-0.1356373071364498,0.0701679537704172,0.013240474621992002,0.03305649698065982,-1325.3708385624254,-844.645256709506,-933.4001325363857,-773.47180307297,6719.969998886994,5531.05819820215,8094.9878330358515,5068.571619961417,0.004586634481316528,0.03318488619743764,0.010159076367249196,0.018198264659098417,0.09024400084780541,-480.32562695281115,325.4801434043424,-650.6892977114369,475.3264972080345,-840.4534863033886,677.9685362537107
dirt,factored_v1_resnet_h32_b2_sim,6.264000000000126,4.502154871572281,-0.3083021511233138,-0.23729002063610968,-2.0809234915052652,-2242.668860067424,-1759.2807714099754,-0.13701464032377858,-0.14426189240200593,0.03963531357305161,0.02822251095407045,-1530.7594063020922,-711.9094537653316,-1028.809226927051,-730.4715444829245,8153.1969248724845,5126.827652729822,6436.840263018553,4465.647702090589,0.0011143257044343568,0.04951403604517749,0.013055513266300644,0.02044090326180959,0.09175176533085873,-1908.3865466018165,440.55515409845947,-2584.1683168441295,613.497675097681,-3313.720050219112,835.0927045129929
dirt,factored_v1_resnet_h32_b2_sim,6.276000000000127,4.51664052239704,-0.4003555871017296,-0.23744373270604555,-0.8048732427783695,-2488.758635870112,-2347.148934186695,-0.1421202716778767,-0.149481526654632,0.014616952149015061,0.022827892008333597,-1760.9763461318776,-727.7822897382342,-1238.1920461629882,-1108.9568880237068,8440.232423457406,5174.183017611362,10190.926744734401,6732.71758699345,0.003523098462462382,0.046667247623329834,0.008090611934516538,0.018563348950551777,0.11520646308907162,-2017.4704494766584,399.5189571516383,-2745.913405324052,599.3060003050315,-3525.8731480321812,854.1028534414368
dirt,factored_v1_resnet_h32_b2_sim,6.288000000000127,4.572392287190719,-0.32839059581178776,-0.2383822167638497,-1.023840067179253,-1949.0631468157198,-1595.5413171661194,-0.1430955603625678,0.06780730129690661,0.007133509720925633,0.020158171554827343,-1166.7230371291016,-782.3401096866182,-678.6685814992202,-916.8727356668991,6301.7665549944095,5061.8983623565255,7070.990906921198,6010.231069783222,0.012106495195904473,0.03584415761307929,0.01148557671151309,0.02009909075509011,0.11286820737884107,-501.4162007420774,205.416616703626,-684.7682541171167,318.54110475431395,-886.0366168377938,479.3338168184826
dirt,factored_v1_resnet_h32_b2_sim,6.300000000000128,4.6947377451482835,-0.31988996017464527,-0.2400419763582348,-1.4942895241212382,-2351.5365921421626,-1394.0273004664523,-0.14573449345007664,-0.16051977423578595,0.012764980508046617,0.008494835876879738,-1574.6941773429817,-776.842414799181,-799.4420650515679,-594.5852354148843,8264.307088665122,5482.677382671549,6203.358281132852,4323.858229922817,0.009668899832908777,0.043574358403673616,0.00933988419172187,0.012481059115377151,0.09249295150794952,-2093.1715603361117,133.43338489415817,-2876.807809010622,209.9878645801249,-3661.7443590420207,320.95150841686046
dirt,factored_v1_resnet_h32_b2_sim,6.312000000000128,4.620705949953487,-0.3936253601807413,-0.2400234825359817,-1.4981154289828664,-2251.0862330922964,-1450.0031595098203,0.09358265593183564,-0.16327446766533094,0.013036978016550132,0.009924312750828083,-1488.5419694295915,-762.5442636627051,-906.6195608700298,-543.3835986397906,7886.618322285331,5288.363268275441,9847.883225233654,5075.03979807843,0.00217124068805347,0.041707327499846236,0.005887093327436425,0.01824424650956726,0.12562512708697232,56.106532574447215,235.9950428082235,141.35366290429124,370.1887616512083,171.31606444287058,550.5238068174883
dirt,factored_v1_resnet_h32_b2_sim,6.324000000000129,4.639202790866956,-0.32278225594987786,-0.24044724579254467,-1.1311953739116394,-1850.2970526710405,-1038.8230060285955,0.08654501625165871,0.05906793522118599,0.006418186199088977,0.012400832635761439,-1076.0182328460148,-774.2788198250258,-569.9315649650166,-468.891441063579,6200.488773419558,5621.5257598467,7378.959047838349,4909.406565055712,0.007921329449337098,0.026470271828490464,0.00743099058224521,0.020770450258574023,0.16148664606013913,989.8214630958955,126.4432286385161,1350.3834955304374,208.78284432638077,1718.3704786034589,331.9300786930533
dirt,factored_v1_resnet_h32_b2_sim,6.336000000000129,4.670873742525286,-0.38258827308723126,-0.23914202034822687,-1.280910201862271,-1777.2892939080812,-385.1519026408645,-0.16180939119114027,-0.17589661879759197,0.005132711437306,0.010745457259474914,-1083.6190754559084,-693.6702184521728,59.156664893393724,-444.3085675342582,6978.6919494014,5989.132844453748,6221.715797550257,4198.231855244993,0.016186144943046717,0.03645219287991317,0.00887488134788382,0.020893601664671677,0.1506258942988992,-2027.5269673819223,84.47793454438936,-2809.261789839915,145.6266772364173,-3572.9106653587305,236.69149914072938
dirt,factored_v1_resnet_h32_b2_sim,6.3480000000001295,4.5833842618406395,-0.2851090619774941,-0.24354854376366802,-1.5491086014787936,-2119.5083243924037,-1441.5247244514962,-0.15996938446666784,-0.18292782744580974,0.008139373122988092,0.014310062305299671,-1433.901461227521,-685.606863164883,-1015.7060335464145,-425.8186909050819,7529.0247265490525,5340.597658602375,7732.372898739492,4540.822139525011,0.01603684723515035,0.03626698815834502,0.014365641000523274,0.02117934412898932,0.10732500210540045,-2048.373397245085,144.55092413806892,-2837.800721071141,235.74533119844858,-3595.65515680792,365.47069189040974
dirt,factored_v1_resnet_h32_b2_sim,6.36000000000013,4.568881622195274,-0.4154800130824792,-0.24401161965828613,-1.1199079616249048,-1745.1379780803038,-1624.9209824042418,0.08240007954173283,0.05446885805056874,0.005841242076419446,0.029683354911370367,-1057.3551944601652,-687.7827836201386,-896.4070552163292,-728.5139271879126,6389.7996485441645,5424.995457945063,8813.084020796854,5867.579856263166,0.0047564313941079305,0.02768270293787793,0.009417594724695721,0.023778073807738984,0.15361664661960844,943.939710783512,265.6683570095267,1288.462973693358,409.54374487021124,1646.3059825525968,600.6160425275159
dirt,factored_v1_resnet_h32_b2_sim,6.3720000000001304,4.626812555196295,-0.29615208414164046,-0.2469909104425701,-1.0756629171326146,-1824.6030425026834,-874.3748778116786,-0.1695207460799532,-0.1765750873502358,-0.001942467664475954,0.002699530131025697,-1092.6872265913964,-731.915815911287,-402.1308178813167,-472.2440599303619,6636.973108388627,5882.687015776897,8380.183821125482,4180.797822517985,0.012406773467032986,0.045947486395158776,0.011724156367817339,0.016268023009011513,0.21549629533596532,-1959.4676920790432,-22.143699155199148,-2705.017234191101,21.835351242515273,-3458.286124458642,86.41184392748035
dirt,factored_v1_resnet_h32_b2_sim,6.384000000000131,4.651491985950372,-0.36880753743484757,-0.2459201280835173,-1.6824871787021862,-1771.7222397285166,-1099.2268828527287,-0.17050321816899822,-0.18012091769361724,-0.0002183968003498715,-0.00046214758272597424,-1023.0601253390231,-748.6621143894935,-706.5622732957604,-392.6646095569683,6320.096125337168,6047.205254516515,6848.270533154798,4290.19586823015,0.014078619792540723,0.04708646323433547,0.013938035985709736,0.016427109901274838,0.22751197032516313,-1944.5141556202427,-9.637150739273935,-2685.332816391712,30.89763028366899,-3431.937075362307,94.46748918199106
dirt,factored_v1_resnet_h32_b2_sim,6.396000000000131,4.627026864170249,-0.30152937532461255,-0.2465293757691475,-0.9786102176962056,-1947.6143663929533,-1373.6483157482508,-0.17129091657957707,0.045311476451450554,-0.00032110152624502733,0.03498387273346747,-1329.6207535914962,-617.9936128014572,-662.8900340017384,-710.7582817465124,7893.809207104231,5226.109504460411,6351.149337954883,5051.284114595024,0.012721169772263972,0.030438755104012165,0.009817846930218668,0.024328797860697908,0.1906651948054766,-996.6844372195775,199.46510691112076,-1429.3162160036757,293.33863453059047,-1817.9911641641274,428.9644315110155
