time,control_delay_s,manual_delay_s,camera_delay_s
8.262000,0.127634,0.127634,0.193069
8.313000,0.144800,0.144800,0.217960
8.364000,0.131255,0.131255,0.198319
8.415000,0.178545,0.178545,0.266891
8.466000,0.107315,0.107315,0.163607
8.517000,0.185599,0.185599,0.277119
8.568000,0.113658,0.113658,0.172805
8.619000,0.189433,0.189433,0.282678
8.670000,0.114346,0.114346,0.173802
8.721000,0.120615,0.120615,0.182891
8.772000,0.450000,0.450000,0.660500
8.823000,0.114446,0.114446,0.173946
8.874000,0.450000,0.450000,0.660500
8.925000,0.166593,0.166593,0.249559
8.976000,0.141539,0.141539,0.213232
9.027000,0.101006,0.101006,0.154459
9.078000,0.130933,0.130933,0.197853
9.129000,0.118917,0.118917,0.180430
9.180000,0.209128,0.209128,0.311236
9.231000,0.112430,0.112430,0.171024
9.282000,0.140729,0.140729,0.212057
9.333000,0.131097,0.131097,0.198091
9.384000,0.129439,0.129439,0.195687
9.435000,0.112739,0.112739,0.171471
9.486000,0.127542,0.127542,0.192936
9.537000,0.170519,0.170519,0.255252
9.588000,0.133356,0.133356,0.201366
9.639000,0.450000,0.450000,0.660500
9.690000,0.106137,0.106137,0.161899
9.741000,0.134487,0.134487,0.203006
9.792000,0.450000,0.450000,0.660500
9.843000,0.162017,0.162017,0.242924
9.894000,0.111397,0.111397,0.169526
9.945000,0.450000,0.450000,0.660500
9.996000,0.450000,0.450000,0.660500
10.047000,0.124257,0.124257,0.188172
10.098000,0.450000,0.450000,0.660500
10.149000,0.115696,0.115696,0.175760
10.200000,0.121451,0.121451,0.184103
10.251000,0.110819,0.110819,0.168688
10.302000,0.129403,0.129403,0.195635
10.353000,0.191275,0.191275,0.285348
10.404000,0.108899,0.108899,0.165904
10.455000,0.112009,0.112009,0.170414
10.506000,0.133640,0.133640,0.201779
10.557000,0.119966,0.119966,0.181950
10.608000,0.450000,0.450000,0.660500
10.659000,0.128740,0.128740,0.194673
10.710000,0.129648,0.129648,0.195990
10.761000,0.135192,0.135192,0.204028
10.812000,0.108758,0.108758,0.165699
10.863000,0.126794,0.126794,0.191852
10.914000,0.125291,0.125291,0.189672
10.965000,0.114707,0.114707,0.174326
11.016000,0.174475,0.174475,0.260988
11.067000,0.450000,0.450000,0.660500
11.118000,0.450000,0.450000,0.660500
11.169000,0.124143,0.124143,0.188007
11.220000,0.116105,0.116105,0.176352
11.271000,0.191423,0.191423,0.285564
11.322000,0.124045,0.124045,0.187866
11.373000,0.107462,0.107462,0.163820
11.424000,0.126539,0.126539,0.191481
11.475000,0.162004,0.162004,0.242906
11.526000,0.112479,0.112479,0.171094
11.577000,0.115213,0.115213,0.175059
11.628000,0.120635,0.120635,0.182921
11.679000,0.122472,0.122472,0.185584
11.730000,0.163599,0.163599,0.245219
11.781000,0.450000,0.450000,0.660500
11.832000,0.211760,0.211760,0.315053
11.883000,0.118932,0.118932,0.180452
11.934000,0.450000,0.450000,0.660500
11.985000,0.182859,0.182859,0.273145
